,emoji,sentiment,re_emoji
516,愛你r,pos,愛你r
517,贊r,pos,贊r
518,太開心r,pos,太開心r
519,鮮花r,pos,鮮花r
520,饞嘴r,pos,饞嘴r
521,給你小心心r,pos,給你小心心r
522,贏牛奶r,pos,贏牛奶r
523,好喜歡r,pos,好喜歡r
524,超話r,pos,超話r
525,擠眼r,pos,擠眼r
526,可憐r,pos,可憐r
527,好愛哦r,pos,好愛哦r
528,笑而不語r,pos,笑而不語r
529,求關注r,pos,求關注r
530,親親r,pos,親親r
531,贊啊r,pos,贊啊r
532,單身狗r,neu,單身狗r
533,並不簡單r,pos,並不簡單r
534,春遊家族r,pos,春遊家族r
535,拳頭r,pos,拳頭r
536,給力r,pos,給力r
537,偷樂r,pos,偷樂r
538,中國贊r,pos,中國贊r
539,微風r,pos,微風r
540,小紅花r,pos,小紅花r
541,求饒r,pos,求饒r
542,太陽r,pos,太陽r
543,裂開r,neu,裂開r
